variable,scale,scenario,temperature,data,model
'NEP','GLB','SSP126',0.906768051,1589.717802,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.825427454,724.3290957,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.778166009,-10.76363137,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.728545965,387.4210136,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.84965939,-2304.449422,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.889861226,-2613.066685,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.867241296,-312.6615937,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.814048942,-963.9807836,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.857509013,-189.349158,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.973742992,1168.899732,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.974040684,-2995.273305,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.826918125,-2198.583033,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.715250086,-295.7567379,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.87383662,-3101.351617,'BCC-CSM2-MR'
'NEP','GLB','SSP126',1.073848334,-4253.424313,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.898236551,-444.4891054,'BCC-CSM2-MR'
'NEP','GLB','SSP126',1.041902737,-1503.407277,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.822269201,-969.0639794,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.661513291,-656.6577045,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.746942606,-2832.514256,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.749582109,-2300.622279,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.854444454,-2745.456795,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.924186504,-2901.329666,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.871195731,-2463.8367,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.815757304,-2431.725134,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.698563814,749.7286539,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.673942443,-405.2764711,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.619716236,-1550.385241,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.667876513,-3244.49788,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.579977254,-777.303353,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.675431241,-803.1640758,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.72562485,-4364.487585,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.452543673,-1201.035737,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.400590053,-2841.933125,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.412453579,-2312.326088,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.575948767,-3562.423829,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.719388015,-4082.206431,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.635931503,-3287.366878,'BCC-CSM2-MR'
'NEP','GLB','SSP126',-0.033636429,193.7413679,'CanESM5'
'NEP','GLB','SSP126',-0.077189634,2269.398708,'CanESM5'
'NEP','GLB','SSP126',0.152545074,-1576.473175,'CanESM5'
'NEP','GLB','SSP126',0.036938616,-1866.661879,'CanESM5'
'NEP','GLB','SSP126',-0.078657628,979.9949778,'CanESM5'
'NEP','GLB','SSP126',-0.048199895,2642.130417,'CanESM5'
'NEP','GLB','SSP126',0.1157196,3006.19703,'CanESM5'
'NEP','GLB','SSP126',0.102045294,4478.183142,'CanESM5'
'NEP','GLB','SSP126',0.541724472,-260.4242456,'CanESM5'
